author_id,author_name
1,José Mauro de Vasconcelos
2,nhieu tac gia
3,Trần Phách Hàm
4,Thích Nhất Hạnh
5,Thảo Trang
6,Janet Mills
7,Nguyễn Nhật Ánh
8,Minh Niệm
9,Trương Tiếu Hằng
10,Gosho Aoyama
11,Adam Grant
12,Giản Tư Trung
13,Avinash K. Dixit
14,Tống Mặc
15,Morgan Housel
16,David A. Phillips
17,Châu Sa Đáy Mắt
18,Viktor Emil Frankl
19,Paulo Coelho
20,James Clear
21,Niccolò Machiavelli
22,Michael Sandel
23,GEORGE SAMUEL CLASON
24,Ngô Đức Vượng
25,Higashino Keigo
26,Ma Nữ Sha Sha
27,Nguyên Phong
28,Robert Greene
29,Hae Min
30,Albert Rutherford
31,Lê Bảo Ngọc
32,Vãn Tình
33,Shannon Thomas
34,Mark Manson
35,Mihaly Csikszentmihalyi
36,Từ Thính Phong
37,Tuệ An
38,Napoleon Hill
39,Yuval Noah Harari
40,Momoko Sakura
41,Inamori Kazuo
42,Mai Lan Hương
43,Thich Nhất Hạnh
44,Nguyễn Thị Xuân Phượng
45,Ca Tây
46,Joseph Murphyc
47,Haruki Murakami
48,Stephen R. Covey
49,Liêu Tiểu Đao
50,Nguyễn Đoàn Minh Thư
51,TS. Chris Napier
52,Lam
53,Tim Marshall
54,Osho
55,Kuroyanagi Tetsuko
56,Kai-Fu Lee
57,Andrea Hirata
58,Simon Sinek
59,Robin Sharma
60,Antoine De Saint-Exupéry
61,Cole Nussbaumer Knaflic
62,Luis Sepulveda
63,Khaled Hosseini
64,Trần Thanh Phong
65,Vex King
66,Ayn Rand
67,Song Hong Bing
68,Lưu Hiểu Huy
69,William B.Irvine
70,Khương Nguy
71,John Gray
72,Liễu Phàm
73,Don Gabor
74,Alex Rovira
75,Peg Dawson
76,David R.Hawkins
77,Trí
78, Đỗ Trung Kiên
79,Cao Minh
80,Trần Đặng Đăng Khoa
81,Jacob Morgan
82,Brian L Weiss
83,Robert T. Kiyosaki
84,Jonah Sachs
85,Ken Honda
86,Yoo Eun Jung
87,Jeffrey Archer
88,Joe Vitale
89,Richard Nicholls
90,Delia Owens
91,Baird T Spalding
92,Phan Văn Trường
93,Seimaru Amagi
94,Gabriel Garcia Marquez
95,Ngô Sa Thạch
96,Tô Mạn
97,Joy Woodward
98,.
99,Daniel Kahneman
100,Đặng Hoàng Giang
101,Bùi Thành Việt
102,Jo Hemmings
103,Og Mandino
104,Nguyễn Trí Đoàn
105,Eric Ries
106,Roxie Nafousi
107,Duy Văn
108,Ken Mogi
109,Rosie Nguyễn
110,Kulzsc
111,Nhiều tác giả
112,Paul Kalanithi
113,Harper Lee
114,Mặc Hương Đồng Khứu
115,Dale Carnegie
116,Bạch Tô
117,Bruce D. Perry
118,Lê Thu Hà
119,Yoshichi Shimada
120,Chade-Meng Tan
121,Fukuzawa Yukichi
122,Tiến sĩ Shefali Tsabary
123,Trác Nhã
124,Diệp Hồng Vũ
125,Don Failla
126,Eckhart Tolle
127,Rio Creative
128,Thu Giang Nguyễn Duy Cần
129,David J. Liebermen
130,Diệp Tiểu Ngư
131,Albert Camus
132,Vương Đào
133,Akiyoshi Horie
134,Jeon Hong Jin
135,Cho Chang - In
136,Choi Kwanghuyn
137,Miêu Công Tử
138,Hachun Lyonnet (Hà Chũn)
139,Bảo Ninh
140,Di Li
141,Jay Papasan Gary Keller
142,William Golding
143,Steve Harvey
144,Ibuka Masaru
145,Diệp Tử
146,Tara Westover
147,Hà Vĩnh Thọ
148,Gary Chapman
149,Alan Phan
150,Universe
151,Cảnh Thiên
152,Nguyễn Dương
153,Lucy Maud Montgomery
154,Thảo Thảo
155,Grant Cardone
156,Matt Haig
157,Jessie Inchauspé
158,Benjamin Graham
159,Fujiko.F.Fujio
160,Camilo Cruz
161,Gege Akutami
162,Geshe Michael Roach
163,Bizbooks
164,Anthony William
165,Stuart Farrimond
166,Austin Kleon
167,Tôn Tần
168,Khương Lệ Bình
169,Mario Puzo
170,Huỳnh Vĩnh Sơn
171,Tony Buổi Sáng
172,Giác Minh Luật
173,Trương Học Vĩ
174,Eran Katz
175,Đoàn Giỏi
176,Jim Rohn
177,BS. Lê Thị Hải
178,Emma Hạ My
179,Tracy Hogg
180,Tạ Quốc Kế
181,Giulia Enders
182,Mauro F. Guillén
183,Sai Lei
184,Trạch Quế Vinh
185,Từ Quang Á
186,Suối Thông
187,Khailed Hosseini
188,Esther Perel
189,Rebecca Gilpin
190,Choi Kwanghyun
191,Fujiko-F-Fujio
192,Hermann Hesse
193,Michelle Moore
194,Tsutsumi Chiharu
195,Masura Emoto
196,W.Chan Kim
197,Fyodor Dostoevsky
198,Mễ Mông
199,Blake Snyder
200,Susan Forward
201,Anna Lembke
202,Donna M. Genett
203,Pomnyun
204,William J. O’Neil
205,Masato Takeuchi
206,Lê Văn Hùng
207,Francis Scott Key Fitzgerald
208, Vãn Tình
209,Nguyễn Ngọc Thuần
210,Brianna Wiest
211,Phùng Quán
212,Jacob & Wilhelm Grimm
213,Ở Đây Zui Nè
214,Clint Emerson
215,Jared Diamond
216,Phước Tuệ Từ
217,John Perkins
218,John Steinbeck
219,Daniel Goleman
220,Annie Ernaux
221,Markus Rach
222,Russ Harris
223,Nina George
224,Philip Kotler
225,Anthony Robbins
226,Dr. Joe Dispenza
227,Carole Berger
228,Louise L.Hay
229,Kevin Chen
230,J. K. Rowling
231,Nhà tâm thần học DaiGo
232,Patrick King
233,Trương Manh
234,Hans Decoz
235,Do Ki-sung
236,Zig Ziglar
237,Philippa Perry
238,Roald Dahl
239,Huyền Trang
240,An Guang-hyun
241,Sidney Sheldon
242,Nguyên Anh
243,John Boyne
244,Tô Hoài
245,Nguyễn Tuân
246,The Windy
247,"Mẹ Ong Bông, Hachun Lyonnet, Bubu Hương"
248,Kory Kogon
249,Svetlana Alexievich
250,Urako Kanamori
251,DK
252,Trần Lộ
253,Megan C Hayes
254,Jayneen Sanders
255,Frederic Laloux
256,Nguyễn Phương Nam
257,Linh Phan
258,Sherryl Sandberg
259,Yusuke Nomura
260,Hạ Mer
261,Hackers
262,Yagisawa Satoshi
263,Thục Linh
264,April Pfender
265,Ray Bradbury
266,Đặng Thúy Hà
267,Từ Viễn
268,BS. Trần Thị Huyên Thảo
269,Prentice Mulford
270,Sean Covey
271,Steve Nison
272,Gabriel Perlemuter
273,Hanazono Makoto
274,Kim Woo Choong
275,"Bessel Van Der Kolk, M.D"
276,Henry Ford
277,Rhowa Byrne
278,Tiếu Giang Nam
279,Alexandra David Neel
280,Nguyễn Anh Dũng
281,Dick Sutphen
282,Ngô Tất Tố
283,An 
284,Ryosuke Takeuchi
285,Emma Phạm
286,Tâm Bùi
287,Philip Freeman
288,Lâm Minh Chánh
289,Chan Ho-Kei
290,Nguyễn Văn Tuấn
291,Fuku Mitsu
292,Spencer Johnson
293,Tôn Tử
294,Kazuo Ishiguro
295,Tây Tử Tự
296,Galit Atlas
297,Ty Bolliger
298,Michael Duff Newton
299,Richard Holloway
300,Nhà báo Phan Đăng
301,Trang Anh
302,Tuệ Sỹ
303,Roger Bridgman
304,Sasaki Fumio
305,Ma Thế Đức
306,Michael Bunting
307,Gustave Dumoutier
308,Macmart
309,Kishimi Ichiro
310,Edmondo De Amicis
311,BS. Alice Roberts
312, Nguyễn Quốc Tuấn
313,Lucius Annaeus Seneca
314,Rhonda Byrne
315,Alicia Vu
316,Trương Nguyện Thành
317,Nguyễn Phi Vân
318,John Bowker
319,J.R.R Tolkien
320,Peter Thiel
321,Dan Ariely
322,Howard Marks
323,Chris Voss
324,Yukito Ayatsuji
325,Ernest Van De Velde
326,Thought Catalog
327,Nguyễn Trung Nghĩa
328,Quân Tử Dĩ Trạch
329,Leonard Sax
330,Rubén Villahermosa Chaves
331,Kathy Lien
332,Tịch Tông Long
333,Louise L. Hay
334,Sophie Hannah
335,Chung Ju Yung
336,Dr. Robin Stern
337,Nguyễn Phương Mai
338,Brian Tracy
339, TS. Nguyễn Như Ý
340,Dane
341,hngoc
342,Tiểu Dã
343,Thomas More
344,Malcolm Gladwell
345,Bạch Tiến Dũng
346,Hiraki Kazuo
347,Scott Young
348,Akimi Yoshida
349,Gérard Denizeau
350,Steven Schuster
351,Jenny Kiều
352,Phạm Phương Hoa
353,Wladislaw Jachtchenko
354,Uketsu
355,Machiavelli
356,Rhee Dongwoo
357,Nguyễn Hiến Lê
358,Mẹ Ong Bông
359,Đà Hoàng
