category_id,category
1,11.11 Campaign
2,1980Books
3,Bao lì xì
4,Bookmark
5,Bài học kinh doanh
6,Bóp Viết - Hộp Bút
7,Bút Kỹ Thuật
8,Bút Lông Màu
9,Bút cao cấp
10,Bút chì - Ruột bút chì
11,Bút dạ quang
12,Bút gel - Bút nước
13,Bút lông bảng
14,Bút lông kim
15,Bút vẽ kỹ thuật
16,Bút xóa - Xóa kéo
17,Băng Keo - Keo Hồ - Cắt Keo
18,Bảng Viết
19,Ca dao - Tục ngữ
20,Chăm sóc sức khỏe
21,Các loại giấy khác
22,Cọ Vẽ - Màu Nước
23,Du ký
24,Dụng cụ học sinh khác
25,Dụng cụ văn phòng khác
26,ELTs
27,Emotions
28,English Language Dictionary
29,"Family, friends and school"
30,File Hồ Sơ - Bìa Hồ Sơ
31,Flashcard Tiếng Anh - Từ Vựng - Chủ Đề
32,Flashcards Cho Bé
33,Foreign Language Books
34,Foreign Language Study & Reference
35,Giáo Trình Đại Học - Cao Đẳng
36,Giấy Notes
37,Giấy bìa - Decal
38,Giấy in - Fax - Photo
39,"Grammar, vocabulary & skills"
40,Growing Up & Facts of Life
41,Gọt bút chì - Gôm Tẩy
42,Hộp quà - Túi quà
43,Internet - Computers
44,Kiến Thức Bách Khoa
45,Kiến thức - Bách khoa
46,Light novel
47,Luật - Văn Bản Luật
48,Lý Luận Chính Trị
49,Lĩnh vực khác
50,Lập Trình
51,Lịch Bloc
52,Lịch Bàn
53,Lịch Sử Thế Giới
54,Lịch Sử Việt Nam
55,Lịch Tờ - Lịch Lò Xo
56,Management - Leadership
57,Middle School: Grades 6 - 9
58,Máy Tính Khoa Học
59,Máy tính bỏ túi
60,Máy tính để bàn
61,Móc Khóa - Phụ Kiện Trang Trí
62,Mô hình trang trí
63,Mỹ Thuật - Kiến Trúc
64,Ngoại Ngữ Khác
65,Others
66,Personal Improvement
67,Phê Bình - Lý Luận Văn Học
68,Phóng sự - Ký sự - Bút ký
69,Phấn - Bảng viết - Lau bảng
70,Phụ kiện - Vật liệu trang trí
71,Quà tặng trang sức
72,Quà tặng trang trí khác
73,Sticker - Decal trang trí
74,Sách Chiêm Tinh - Horoscope
75,Sách Danh Nhân
76,Sách Dinh Dưỡng - Sức Khỏe Cho Bé
77,Sách Hôn Nhân - Giới Tính
78,Sách Học Tiếng Anh
79,Sách Học Tiếng Hoa
80,Sách Học Tiếng Hàn
81,Sách Học Tiếng Nhật
82,Sách Khoa Học - Kỹ Thuật
83,Sách Kiến Thức - Kỹ Năng Cho Trẻ
84,Sách Luyện Thi Đại Học - Cao Đẳng
85,Sách Làm Cha Mẹ
86,Sách Marketing - Bán hàng 
87,Sách Nấu ăn
88,Sách Phong Thủy - Kinh Dịch
89,Sách Phong Tục - Tập Quán
90,Sách Thai Giáo
91,Sách Tâm Lý Tuổi Teen
92,Sách Tô Màu Dành Cho Người Lớn
93,Sách Tôn Giáo - Tâm Linh
94,Sách Y Học
95,Sách doanh nhân
96,Sách giáo dục
97,Sách hướng nghiệp - Kỹ năng mềm
98,Sách khởi nghiệp
99,Sách kinh tế học
100,Sách kỹ năng làm việc
101,Sách nghệ thuật sống đẹp
102,Sách quản trị nhân lực
103,"Sách quản trị, lãnh đạo"
104,Sách tham khảo cấp I
105,Sách tham khảo cấp II
106,Sách tham khảo cấp III
107,"Sách tài chính, kế toán"
108,"Sách tài chính, tiền tệ"
109,Sách tư duy - Kỹ năng sống
110,Sách Địa Danh - Du Lịch
111,Sách ảnh
112,Sáp nặn
113,Sổ Tay Các Loại
114,Thiết Bị Giáo Dục Trường Học
115,Thiệp - Bưu ảnh
116,Thú Nhồi Bông
117,Thơ
118,Thể Dục - Thể Thao
119,Tin Học Văn Phòng
120,Tiểu Thuyết
121,Tiểu sử - Hồi ký
122,Tranh Truyện
123,Triết Học
124,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu
125,"Truyện Tranh, Manga, Comic"
126,Truyện cười
127,Truyện cổ tích
128,Truyện cổ tích - Ngụ ngôn
129,Truyện dài
130,Truyện kinh dị
131,Truyện kể cho bé
132,Truyện ngôn tình
133,Truyện ngắn - Tản văn - Tạp Văn
134,Truyện tranh Ehon
135,Truyện tranh thiếu nhi
136,Truyện trinh thám
137,Truyện đam mỹ
138,Tác phẩm kinh điển
139,Tô màu - Luyện chữ  
140,Tạp Chí - Catalogue
141,Từ Điển Tiếng Trung
142,Từ Điển Tiếng Việt
143,Văn học thiếu nhi
144,Âm Nhạc - Điện Ảnh
145,Đạo đức - Kỹ năng sống
